Ano,Unidade,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
2023,Casa de Detencao de Cacoal,238,134,156,204,254,105,185,479,410,510,378,390,3443
2023,Centro de Atencao Psicossocial de,4,1,1,0,0,0,0,0,0,0,0,0,6
2023,Creami Dr Francisco Emmanoel Felix,0,0,0,0,6,0,0,0,0,0,0,0,6
2023,Estrategia de Saude da Familia Luiz,609,568,623,661,821,810,687,688,527,450,641,340,7425
2023,Hospital Regional de Cacoal Hrc,0,0,0,0,1,5,1,6,5,1,0,2,21
2023,Secretaria Municipal de Saude de,0,0,0,0,0,0,0,0,0,1,0,0,1
2023,UBS Cleide Gomes Alpha Parque,265,325,500,497,873,472,403,435,350,430,398,334,5282
2023,UBS Habitar Brasil,788,751,1228,932,997,846,843,859,890,899,670,612,10315
2023,UBS Marina Donaria de Lima,176,143,119,94,156,174,220,214,172,174,177,149,1968
2023,UBS Morada do Bosque,742,679,989,1007,681,591,633,711,538,498,527,548,8144
2023,UBS Sao Marcos,780,664,878,405,841,962,907,1094,854,1057,781,732,9955
2023,Unidade Basica de Saude Cristo Rei,803,975,1162,865,1181,994,1173,1114,946,894,1039,1045,12191
2023,Unidade Basica de Saude Nova,987,875,1310,848,1361,1237,1363,1415,1012,1240,1218,944,13810
2023,Unidade Basica de Saude Sao Judas,359,424,641,578,656,507,575,501,472,555,485,281,6034
2023,Unidade de Saude da Familia Edmur,535,595,748,717,1002,834,772,911,736,737,807,601,8995
2023,Unidade de Saude da Familia Joaquim,217,382,624,533,651,645,593,562,483,644,582,427,6343
2023,Unidade de Saude da Familia Vilage do,464,628,840,610,777,706,710,719,607,922,621,473,8077
2024,Casa de Detencao de Cacoal,409,433,720,525,313,225,514,349,236,292,155,201,4372
2024,Estrategia de Saude da Familia Luiz,555,641,598,619,629,550,619,498,402,668,610,425,6814
2024,Hospital Regional de Cacoal Hrc,4,2,4,0,2,0,0,0,0,0,3,0,15
2024,Servico de Atencao Especializada Sae,0,0,0,0,0,28,22,30,46,33,2,3,164
2024,UBS Cleide Gomes Alpha Parque,212,446,521,448,435,428,535,441,394,500,383,401,5144
2024,UBS Habitar Brasil,724,855,880,1093,915,798,935,925,849,753,597,574,9898
2024,UBS Marina Donaria de Lima,183,165,157,217,165,199,149,225,138,210,156,195,2159
2024,UBS Morada do Bosque,479,420,1061,718,743,623,607,603,751,884,710,679,8278
2024,UBS Sao Marcos,849,974,922,1300,1016,930,944,940,945,1075,848,748,11491
2024,Unidade Basica de Saude Cristo Rei,678,658,586,903,665,687,893,858,796,916,851,658,9149
2024,Unidade Basica de Saude Nova,935,911,1270,1145,1096,1179,1207,1101,1114,922,917,921,12718
2024,Unidade Basica de Saude Sao Judas,503,499,450,482,417,470,292,520,583,565,336,431,5548
2024,Unidade de Saude da Familia Edmur,731,710,871,962,834,805,752,745,913,900,717,656,9596
2024,Unidade de Saude da Familia Joaquim,669,727,586,805,606,537,620,498,642,710,547,448,7395
2024,Unidade de Saude da Familia Vilage do,411,573,691,726,720,707,657,583,748,670,708,471,7665
2025,Casa de Detencao de Cacoal,200,236,236,174,234,343,326,187,343,330,314,238,3161
2025,Centro de Atencao Psicossocial de,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,Estrategia de Saude da Familia Luiz,517,600,600,838,712,757,793,871,883,911,586,631,8699
2025,Hospital Regional de Cacoal Hrc             3,1,8,0,0,0,1,1,0,2,0,0,0,13
2025,Servico de Atencao Especializada Sae             3,2,7,4,5,5,8,2,2,0,2,1,0,38
2025,UBS Cleide Gomes Alpha Parque,148,366,324,343,510,529,359,370,396,469,298,319,4431
2025,UBS Habitar Brasil,907,768,705,798,862,845,802,660,875,988,766,894,9870
2025,UBS Marina Donaria de Lima,215,179,222,273,240,268,321,300,311,389,440,256,3414
2025,UBS Morada do Bosque,703,846,862,971,981,823,818,690,983,960,924,781,10342
2025,UBS Sao Marcos,913,999,761,1036,941,1008,1310,1187,1201,1374,909,696,12335
2025,Unidade Basica de Saude Cristo Rei,831,900,783,851,902,819,857,803,1038,1496,869,831,10980
2025,Unidade Basica de Saude Nova,1073,1112,1221,1205,1248,1236,1365,1317,1313,1336,1118,1003,14547
2025,Unidade Basica de Saude Sao Judas,407,455,517,587,531,507,522,656,837,889,675,484,7067
2025,Unidade de Saude da Familia Edmur,840,781,829,944,777,707,732,851,757,655,574,522,8969
2025,Unidade de Saude da Familia Joaquim,687,572,634,655,610,844,561,426,421,431,459,440,6740
2025,Unidade de Saude da Familia Vilage do,587,671,675,716,731,750,645,765,744,723,634,527,8168
2026,Casa de Detencao de Cacoal,152,192,0,0,0,0,0,0,0,0,0,0,344
2026,Estrategia de Saude da Familia Luiz,767,700,0,0,0,0,0,0,0,0,0,0,1467
2026,Servico de Atencao Especializada Sae,1,0,0,0,0,0,0,0,0,0,0,0,1
2026,UBS Cleide Gomes Alpha Parque,187,416,0,0,0,0,0,0,0,0,0,0,603
2026,UBS Habitar Brasil,838,719,0,0,0,0,0,0,0,0,0,0,1557
2026,UBS Marina Donaria de Lima,282,222,0,0,0,0,0,0,0,0,0,0,504
2026,UBS Morada do Bosque,818,749,0,0,0,0,0,0,0,0,0,0,1567
2026,UBS Sao Marcos,780,1104,0,0,0,0,0,0,0,0,0,0,1884
2026,Unidade Basica de Saude Cristo Rei,750,696,0,0,0,0,0,0,0,0,0,0,1446
2026,Unidade Basica de Saude Nova,1089,1064,0,0,0,0,0,0,0,0,0,0,2153
2026,Unidade Basica de Saude Sao Judas,628,521,0,0,0,0,0,0,0,0,0,0,1149
2026,Unidade de Saude da Familia Edmur,441,523,0,0,0,0,0,0,0,0,0,0,964
2026,Unidade de Saude da Familia Joaquim,689,567,0,0,0,0,0,0,0,0,0,0,1256
2026,Unidade de Saude da Familia Vilage do,542,606,0,0,0,0,0,0,0,0,0,0,1148
